Table 210-06401 : Unemployed persons and unemployment rate by age and sex,,,,,,,,
 ,,,,,,,,
Sex,,,Male,Male,Female,Female,Both sexes,Both sexes
 , , ,Unemployed persons (1),Unemployment rate (2),Unemployed persons (1),Unemployment rate (2),Unemployed persons (1),Unemployment rate (2)
,,,No. ('000),(%),No. ('000),(%),No. ('000),(%)
Year / Moving 3-month period,,Age group,,,,,,
6/2023 - 8/2023,,55 - 59,6.6,3.1,4.3,2.2,10.8,2.7
6/2023 - 8/2023,,60 and over,7.0,2.1,3.6,1.8,10.6,2.0
6/2023 - 8/2023,,     60 - 64,5.2,2.8,2.0,1.5,7.2,2.3
6/2023 - 8/2023,,     65 and over,1.8,1.2,1.7,2.4,3.5,1.6
6/2023 - 8/2023,,15 and over,62.8,3.3,49.4,2.6,112.2,2.9
7/2023 - 9/2023,,15 - 24,8.1,8.3,11.8,12.1,19.8,10.2
7/2023 - 9/2023,,     15 - 19,1.7,12.2,1.5,10.8,3.1,11.5
7/2023 - 9/2023,,     20 - 24,6.4,7.6,10.3,12.3,16.7,10.0
7/2023 - 9/2023,,25 - 29,9.0,5.1,7.3,3.8,16.3,4.4
7/2023 - 9/2023,,30 - 34,6.4,3.0,4.9,2.1,11.2,2.5
7/2023 - 9/2023,,35 - 39,5.4,2.5,3.7,1.4,9.1,1.9
7/2023 - 9/2023,,40 - 44,5.6,2.5,5.0,1.8,10.6,2.1
7/2023 - 9/2023,,45 - 49,6.8,3.1,4.4,1.8,11.1,2.4
7/2023 - 9/2023,,50 - 54,8.0,3.7,4.7,2.0,12.8,2.8
7/2023 - 9/2023,,55 - 59,7.3,3.5,3.7,1.9,11.0,2.7
7/2023 - 9/2023,,60 and over,8.0,2.4,3.9,2.0,11.9,2.2
7/2023 - 9/2023,,     60 - 64,5.8,3.1,2.5,1.9,8.3,2.6
7/2023 - 9/2023,,     65 and over,2.2,1.5,1.4,2.0,3.6,1.7
7/2023 - 9/2023,,15 and over,64.6,3.4,49.3,2.6,113.9,3.0
8/2023 - 10/2023,,15 - 24,6.9,7.2,11.0,11.6,18.0,9.4
8/2023 - 10/2023,,     15 - 19,1.7,12.5,1.0,8.5,2.7,10.6
8/2023 - 10/2023,,     20 - 24,5.2,6.4,10.0,12.0,15.3,9.2
8/2023 - 10/2023,,25 - 29,9.7,5.5,7.1,3.7,16.8,4.6
8/2023 - 10/2023,,30 - 34,6.8,3.2,4.7,2.0,11.5,2.6
8/2023 - 10/2023,,35 - 39,5.7,2.6,3.4,1.3,9.2,1.9
8/2023 - 10/2023,,40 - 44,6.0,2.7,5.6,2.0,11.6,2.3
8/2023 - 10/2023,,45 - 49,6.8,3.2,4.5,1.9,11.3,2.5
8/2023 - 10/2023,,50 - 54,7.6,3.5,4.7,2.0,12.4,2.7
8/2023 - 10/2023,,55 - 59,8.1,3.9,4.3,2.2,12.4,3.0
8/2023 - 10/2023,,60 and over,9.2,2.7,3.7,1.9,12.9,2.4
8/2023 - 10/2023,,     60 - 64,6.1,3.3,2.5,1.9,8.7,2.7
8/2023 - 10/2023,,     65 and over,3.0,2.1,1.2,1.8,4.2,2.0
8/2023 - 10/2023,,15 and over,66.9,3.5,49.1,2.5,116.0,3.0
9/2023 - 11/2023,,15 - 24,7.0,7.5,9.1,9.8,16.1,8.6
9/2023 - 11/2023,,     15 - 19,0.8,7.2,0.9,8.8,1.7,7.9
9/2023 - 11/2023,,     20 - 24,6.1,7.5,8.2,9.9,14.4,8.7
9/2023 - 11/2023,,25 - 29,9.6,5.5,6.8,3.6,16.4,4.5
9/2023 - 11/2023,,30 - 34,7.0,3.3,4.1,1.8,11.1,2.5
9/2023 - 11/2023,,35 - 39,5.6,2.6,4.1,1.6,9.8,2.1
