Table 210-06103 : Unemployment rate and underemployment rate by age and sex,,,,,,,,
 ,,,,,,,,
Sex,,,Male,Male,Female,Female,Both sexes,Both sexes
 , , ,Unemployment rate (1),Underemployment rate (2),Unemployment rate (1),Underemployment rate (2),Unemployment rate (1),Underemployment rate (2)
,,,(%),(%),(%),(%),(%),(%)
Year / Moving 3-month period,,Age group,,,,,,
2004,,15 - 19,29.0,5.5,22.6,4.5,26.0,5.0
2004,,20 - 29,9.1,3.4,4.8,1.3,6.9,2.3
2004,,30 - 39,5.6,3.1,4.1,1.3,4.9,2.2
2004,,40 - 49,6.7,4.2,6.1,3.6,6.5,4.0
2004,,50 - 59,9.3,4.4,7.4,5.5,8.7,4.8
2004,,60 and over,6.5,3.1,3.1,4.6,5.9,3.4
2004,,15 and over,7.8,3.8,5.6,2.6,6.8,3.3
2005,,15 - 19,24.2,5.2,19.0,4.2,21.9,4.8
2005,,20 - 29,8.2,2.6,4.4,0.9,6.2,1.7
2005,,30 - 39,4.6,2.4,3.1,1.0,3.8,1.7
2005,,40 - 49,5.7,3.7,4.6,2.8,5.3,3.3
2005,,50 - 59,7.7,4.5,5.5,4.3,6.9,4.4
2005,,60 and over,4.3,3.0,2.4,3.1,3.9,3.0
2005,,15 and over,6.5,3.3,4.4,2.0,5.6,2.7
2006,,15 - 19,24.8,5.1,18.6,3.3,21.9,4.3
2006,,20 - 29,7.3,2.4,4.1,0.8,5.6,1.6
2006,,30 - 39,4.2,2.3,2.7,0.7,3.4,1.5
2006,,40 - 49,4.7,3.5,3.6,2.5,4.3,3.0
2006,,50 - 59,6.3,3.9,4.1,3.1,5.5,3.6
2006,,60 and over,3.0,2.7,[*7],2.2,2.6,2.6
2006,,15 and over,5.7,3.1,3.8,1.6,4.8,2.4
2007,,15 - 19,20.7,3.5,18.7,2.7,19.8,3.1
2007,,20 - 29,6.0,1.9,3.5,0.8,4.6,1.3
2007,,30 - 39,3.4,2.1,2.4,0.7,2.9,1.4
2007,,40 - 49,3.7,3.2,3.1,1.8,3.5,2.6
2007,,50 - 59,4.9,4.1,4.0,2.7,4.6,3.6
2007,,60 and over,2.8,3.2,1.5,1.1,2.5,2.7
2007,,15 and over,4.6,2.9,3.4,1.4,4.0,2.2
2008,,15 - 19,18.1,4.3,13.7,2.1,16.0,3.3
2008,,20 - 29,5.8,1.6,3.6,0.6,4.6,1.1
2008,,30 - 39,2.7,2.0,2.1,0.5,2.4,1.2
2008,,40 - 49,3.3,2.6,2.9,1.2,3.1,2.0
2008,,50 - 59,4.3,3.9,2.7,2.2,3.7,3.2
2008,,60 and over,2.2,2.5,0.9,2.1,1.9,2.4
2008,,15 and over,4.0,2.6,2.9,1.0,3.5,1.9
2009,,15 - 19,23.8,4.5,19.5,4.3,21.8,4.4
2009,,20 - 29,9.3,2.2,5.4,1.0,7.2,1.6
2009,,30 - 39,4.4,2.5,3.4,0.7,3.9,1.6
2009,,40 - 49,5.1,3.2,4.1,1.7,4.6,2.5
2009,,50 - 59,6.1,4.3,3.9,2.4,5.3,3.6
2009,,60 and over,3.2,2.5,2.3,1.5,3.0,2.3
2009,,15 and over,6.1,3.1,4.3,1.4,5.3,2.3
2010,,15 - 19,22.9,3.5,18.2,3.1,20.8,3.3
2010,,20 - 29,8.2,2.0,5.1,0.9,6.6,1.4
